number,name,status
1,PEP Purpose and Guidelines,
237,Unifying Long Integers and Integers,
234,Iterators,
241,Metadata for Python Software Packages,
235,Import on Case-Insensitive Platforms,
236,Back to the __future__,
238,Changing the Division Operator,
240,Adding a Rational Literal to Python,
239,Adding a Rational Type to Python,
230,Warning Framework,
233,Python Online Help,
8105,2024 Term Steering Council election,
229,Using Distutils to Build Python,
228,Reworking Python’s Numeric Model,
232,Function Attributes,
227,Statically Nested Scopes,
231,__findattr__(),
8104,2023 Term Steering Council election,
8103,2022 Term Steering Council election,
8101,2020 Term Steering Council election,
8102,2021 Term Steering Council election,
8100,January 2019 Steering Council election,
8015,Organization of the Python community,
8014,The Commons Governance Model,
8016,The Steering Council Model,
8013,The External Council Governance Model,
8012,The Community Governance Model,
8000,Python Language Governance Proposal Overview,
8010,The Technical Leader Governance Model,
8011,Python Governance Model Lead by Trio of Pythonistas,
8001,Python Governance Voting Process,
3333,Python Web Server Gateway Interface v1.0.1,
8002,Open Source Governance Survey,
3155,Qualified name for classes and functions,
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,
3152,Cofunctions,
3154,Pickle protocol version 4,
3153,Asynchronous IO support,
3151,Reworking the OS and IO exception hierarchy,
3149,ABI version tagged .so files,
3150,Statement local namespaces (aka “given” clause),
3147,PYC Repository Directories,
3148,futures - execute computations asynchronously,
3145,Asynchronous I/O For subprocess.Popen,
3144,IP Address Manipulation Library for the Python Standard Library,
3143,Standard daemon process library,
3146,Merging Unladen Swallow into CPython,
3141,A Type Hierarchy for Numbers,
3142,Add a “while” clause to generator expressions,
3140,"str(container) should call str(item), not repr(item)",
3139,Cleaning out sys and the “interpreter” module,
3138,String representation in Python 3000,
3137,Immutable Bytes and Mutable Buffer,
3135,New Super,
3136,Labeled break and continue,
3134,Exception Chaining and Embedded Tracebacks,
3133,Introducing Roles,
3132,Extended Iterable Unpacking,
3131,Supporting Non-ASCII Identifiers,
3129,Class Decorators,
3130,Access to Current Module/Class/Function,
3127,Integer Literal Support and Syntax,
3128,BList: A Faster List-like Type,
3126,Remove Implicit String Concatenation,
3125,Remove Backslash Continuation,
3124,"Overloading, Generic Functions, Interfaces, and Adaptation",
3123,Making PyObject_HEAD conform to standard C,
3121,Extension Module Initialization and Finalization,
3122,Delineation of the main module,
3120,Using UTF-8 as the default source encoding,
3117,Postfix type declarations,
3118,Revising the buffer protocol,
3116,New I/O,
3119,Introducing Abstract Base Classes,
3115,Metaclasses in Python 3000,
3114,Renaming iterator.next() to iterator.__next__(),
3113,Removal of Tuple Parameter Unpacking,
3112,Bytes literals in Python 3000,
3110,Catching Exceptions in Python 3000,
3111,Simple input built-in in Python 3000,
3109,Raising Exceptions in Python 3000,
3107,Function Annotations,
3108,Standard Library Reorganization,
3105,Make print a function,
3106,"Revamping dict.keys(), .values() and .items()",
3104,Access to Names in Outer Scopes,
3103,A Switch/Case Statement,
3102,Keyword-Only Arguments,
3101,Advanced String Formatting,
3100,Miscellaneous Python 3.0 Plans,
3099,Things that will Not Change in Python 3000,
3003,Python Language Moratorium,
3002,Procedure for Backwards-Incompatible Changes,
801,Reserved,
3000,Python 3000,
3001,Procedure for reviewing and improving standard library modules,
2026,Calendar versioning for Python,
789,Preventing task-cancellation bugs by limiting yield in async generators,
754,IEEE 754 Floating Point Special Values,
749,Implementing PEP 649,
745,Python 3.14 Release Schedule,
746,Type checking Annotated metadata,
747,TypeExpr: Type Hint for a Type Expression,
743,Add Py_COMPAT_API_VERSION to the Python C API,
744,JIT Compilation,
742,Narrowing types with TypeIs,
741,Python Configuration C API,
740,Index support for digital attestations,
735,Dependency Groups in pyproject.toml,
738,Adding Android as a supported platform,
739,Static description file for build details of Python installations,
736,Shorthand syntax for keyword arguments at invocation,
737,C API to format a type fully qualified name,
732,The Python Documentation Editorial Board,
